domein,product_url,product_naam,variant,prijs,vergelijkingsprijs,eenheid,eenheidsprijs,sku,categorieën
nootje.eu,https://nootje.eu/product/moon-crackers/,Moon crackers,Standaard,2.25,,,,,
nootje.eu,https://nootje.eu/product/borrelnoten-cocktail-mix/,Borrelnoten cocktail mix,Standaard,3.25,,,,,
nootje.eu,https://nootje.eu/product-categorie/noten/cashewnoten/,Cashewnoten,Standaard,2.78,,,,,
nootje.eu,https://nootje.eu/product/vlies-pinda-klein/,Vlies pinda klein,Standaard,3.25,,,,,
nootje.eu,https://nootje.eu/product/hazelnoot-wit-gebrand-ongezouten/,Hazelnoot wit gebrand ongezouten,Standaard,5.95,,,,,
nootje.eu,https://nootje.eu/product/amandelen-wit-ongebrand/,Amandelen wit ongebrand,Standaard,1.3,,,,,
nootje.eu,https://nootje.eu/product/chocolade-reep-callebaut-puur/,Chocolade reep Callebaut puur,Standaard,2.95,,,,,
nootje.eu,https://nootje.eu/product/pecannoten-ongebrand/,Pecannoten ongebrand,Standaard,3.95,,,,,
nootje.eu,https://nootje.eu/product-categorie/noten/hazelnoten/,Hazelnoten,Standaard,7.5,,,,,
nootje.eu,https://nootje.eu/product/cashew-noten-ongebrand/,Cashew Noten ongebrand,Standaard,6.74,,,,,
nootje.eu,https://nootje.eu/product/sweet-chili-bites/,Sweet chili bites,Standaard,2.75,,,,,
nootje.eu,https://nootje.eu/product/krullart-mix-gebrand-gezouten/,Krullart mix gebrand gezouten,Standaard,3.58,,,,,
nootje.eu,https://nootje.eu/product/abrikozen/,Abrikozen,Standaard,7.45,,,,,
nootje.eu,https://nootje.eu/product/ferro-bicanero-500-gram/,Ferro Bicanero (500 gram),Standaard,9.95,,,,,
nootje.eu,https://nootje.eu/product/pruim-zonder-pit/,Pruim zonder pit,Standaard,2.25,,,,,
nootje.eu,https://nootje.eu/product/pinda-rotsen-puur/,Pinda rotsen puur,Standaard,5.95,,,,,
nootje.eu,https://nootje.eu/product/cadeau-taart-noten/,Cadeau taart noten,Standaard,15.0,,,,,
nootje.eu,https://nootje.eu/product/amandelen-bruin-gebrand-ongezouten/,Amandelen bruin gebrand ongezouten,Standaard,3.5,,,,,
nootje.eu,https://nootje.eu/product/soja-crackers/,Soja Crackers,Standaard,2.52,,,,,
nootje.eu,https://nootje.eu/product/bossche-mix-gebrand-gezouten/,Bossche Mix gebrand gezouten,Standaard,2.1,,,,,
nootje.eu,https://nootje.eu/product/pinda-kaas/,Pinda kaas,Standaard,8.95,,,,,
nootje.eu,https://nootje.eu/product/landgoed-kaasstengels/,Landgoed Kaasstengels,Standaard,4.95,,,,,
nootje.eu,https://nootje.eu/product/spaanse-mini-vijgen/,Spaanse mini vijgen,Standaard,2.95,,,,,
nootje.eu,https://nootje.eu/product/vlies-pinda/,Vlies pinda groot,Standaard,2.95,,,,,
nootje.eu,https://nootje.eu/product/paranoten-brasil-nut-ongebrand/,Paranoten / Brasil nut ongebrand,Standaard,2.5,,,,,
nootje.eu,https://nootje.eu/product/cadeau-pakket-mix/,Cadeau pakket mix,Standaard,29.95,,,,,
nootje.eu,https://nootje.eu/product/pinda-ongebrand-xxl/,Pinda ongebrand (XXL),Standaard,8.95,,,,,
nootje.eu,https://nootje.eu/product/macadamia-noten-gebrand-gezouten/,Macadamia noten gebrand gezouten,Standaard,3.25,,,,,
nootje.eu,https://nootje.eu/product/pecan-mix-gebrand-ongezouten/,Pecan Mix gebrand ongezouten,Standaard,3.95,,,,,
nootje.eu,https://nootje.eu/product/groenten-chips/,Groenten chips,Standaard,3.95,,,,,
nootje.eu,https://nootje.eu/product/dadel-medjoul/,Dadel Medjoul,Standaard,4.25,,,,,
nootje.eu,https://nootje.eu/product/honing-uit-oisterwijk/,Honing uit Oisterwijk,Standaard,11.95,,,,,
nootje.eu,https://nootje.eu/product/studenten-haver-ongebrand/,Studenten haver ongebrand,Standaard,2.6,,,,,
nootje.eu,https://nootje.eu/product/biscotti-cantucci-150-gram/,"Biscotti, Cantucci (150 gram)",Standaard,4.95,,,,,
nootje.eu,https://nootje.eu/product/cranberry-mix-gezouten/,Cranberry mix gezouten,Standaard,15.0,,,,,
nootje.eu,https://nootje.eu/product/callebaut-hagelslag-melk/,Callebaut hagelslag melk,Standaard,4.75,,,,,
nootje.eu,https://nootje.eu/product/mango-gedroogd-zonder-suiker/,Mango gedroogd zonder suiker,Standaard,1.3,,,,,
nootje.eu,https://nootje.eu/product/ratjetoe-mix/,Ratjetoe mix,Standaard,3.5,,,,,
nootje.eu,https://nootje.eu/product/nootje-mix-gebrand-ongezouten/,Nootje Mix gebrand ongezouten,Standaard,1.98,,,,,
nootje.eu,https://nootje.eu/product/cashew-mix-gebrand-ongezouten/,Cashew mix gebrand ongezouten,Standaard,2.95,,,,,
nootje.eu,https://nootje.eu/product/cashew-noten-gebrand-ongezouten/,Cashew Noten gebrand ongezouten,Standaard,2.95,,,,,
nootje.eu,https://nootje.eu/product/granola-60/,Granola 60%,Standaard,7.45,,,,,
nootje.eu,https://nootje.eu/product/ontbijt-pakket/,Ontbijt pakket,Standaard,9.95,,,,,
nootje.eu,https://nootje.eu/product/wasabi-pinda/,Wasabi pinda,Standaard,2.5,,,,,
nootje.eu,https://nootje.eu/product/fruit-mix/,Fruit mix,Standaard,3.5,,,,,
nootje.eu,https://nootje.eu/product/callebaut-hagelslag-puur/,Callebaut hagelslag puur,Standaard,4.75,,,,,
nootje.eu,https://nootje.eu/product/cashewnoot-met-barbecue-bbq/,Cashewnoot met barbecue (BBQ),Standaard,3.95,,,,,
nootje.eu,https://nootje.eu/product/pavesi-crackers-toastjes-original/,Pavesi crackers / toastjes original,Standaard,3.5,,,,,
nootje.eu,https://nootje.eu/product/hazelnoot-ongebrand/,Hazelnoot ongebrand,Standaard,3.95,,,,,
nootje.eu,https://nootje.eu/product-categorie/noten/walnoten/,Walnoten,Standaard,3.44,,,,,
nootje.eu,https://nootje.eu/product/boeren-ambacht-zoet/,Boeren Ambacht zoet,Standaard,2.95,,,,,
nootje.eu,https://nootje.eu/product/pecannoten-gebrand-ongezouten/,Pecannoten gebrand ongezouten,Standaard,3.25,,,,,
nootje.eu,https://nootje.eu/product/pecan-mix-gebrand-gezouten/,Pecan Mix gebrand gezouten,Standaard,3.95,,,,,
nootje.eu,https://nootje.eu/product/gedroogde-appel/,Gedroogde appel,Standaard,4.76,,,,,
nootje.eu,https://nootje.eu/product/teriyaki-cracker-originele/,Teriyaki Cracker originele,Standaard,2.75,,,,,
nootje.eu,https://nootje.eu/product-categorie/noten/amandelen/,Amandelen,Standaard,2.75,,,,,
nootje.eu,https://nootje.eu/product/chia-zaad/,Chia zaad,Standaard,2.95,,,,,
nootje.eu,https://nootje.eu/product/pistache-in-dop-gebrand-gezouten/,Pistache in dop gebrand gezouten,Standaard,3.25,,,,,
noototheek.nl,https://noototheek.nl/products/amandelen-bruin-stukjes-ongebrand,Amandelen Bruin Stukjes Ongebrand,Standaard,7.49,,,,6097353871870,
noototheek.nl,https://noototheek.nl/products/amandelen-bruin-stukjes-ongebrand,Amandelen Bruin Stukjes Ongebrand,Standaard,174.95,,,,6097347934949,
noototheek.nl,https://noototheek.nl/products/gekarameliseerde-cashewnoten,Gekarameliseerde Cashewnoten,Standaard,4.95,,,,6097342564578,
noototheek.nl,https://noototheek.nl/products/gekarameliseerde-cashewnoten,Gekarameliseerde Cashewnoten,Standaard,82.95,,,,6097346542527,
noototheek.nl,https://noototheek.nl/products/overnight-oats-proefpakket,Overnight Oats Proefpakket,Standaard,19.95,,,,6097347937971,
